session_id,total_pnl,emerald_pnl,tomato_pnl,emerald_position,tomato_position,emerald_cash,tomato_cash,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
19,12451.5,7797.0,4654.5,-12,-6,127797.0,33909.0,1.254219911634699,0.9864116916028346,0.7904918686709187,0.9980540595786203,0.46372804296378045,0.9266203424026902
20,14995.0,7450.0,7545.0,-12,25,127450.0,-117755.0,1.6121682678566827,0.9922948164831854,0.802076909284769,0.9925143219328293,0.8100913585719136,0.9868410499527197
21,12720.0,7184.0,5536.0,35,12,-342816.0,-54194.0,1.3022022624725227,0.9839927596280619,0.7113687926436879,0.9966629121706273,0.5908334698288347,0.9161989265836249
22,13253.5,6968.0,6285.5,-8,42,86968.0,-203704.0,1.2973188439961885,0.9980226268615537,0.6937178608511786,0.9970894711602656,0.6036009831450099,0.9852994688816455
23,16795.75,6990.0,9805.75,-4,13,46990.0,-56309.0,1.7146680756091808,0.9948528954390395,0.708908296059083,0.9881665788715824,1.0057597795500979,0.9945295430797513
24,15200.5,8004.0,7196.5,-18,3,188004.0,-7562.0,1.5549749851747499,0.9974464860872867,0.8059978880419789,0.9976429741718379,0.7489770971327709,0.9906441810851472
25,13987.5,7583.0,6404.5,13,1,-122417.0,1449.0,1.3526949273584492,0.9951304243022897,0.7268152091121521,0.9943693811907524,0.6258797182462972,0.9661775413377232
26,16023.0,7762.0,8261.0,-5,28,57762.0,-133538.0,1.6036676469826765,0.9962680835481001,0.7855846629678467,0.9930163632269609,0.8180829840148298,0.987342105136929
27,13737.75,7490.0,6247.75,-10,9,107490.0,-38498.0,1.273182700736827,0.9850516132958242,0.7371109912411099,0.9937524027380106,0.5360717094957171,0.8954070144685271
28,15778.0,7552.0,8226.0,-18,-7,187552.0,43310.0,1.520834392166844,0.9924328390978008,0.7608501714545017,0.9982135563334006,0.7599842207123422,0.9705349126392778
29,17077.0,8202.0,8875.0,15,10,-141798.0,-41185.0,1.744289100264891,0.989295688835728,0.8382696091866961,0.9981790700354676,0.9060194910781949,0.9610666229026018
30,15831.25,7940.0,7891.25,-38,19,387940.0,-86838.0,1.540902488723525,0.9978800617525696,0.7510488893384889,0.9952000853300434,0.789853599385036,0.9933234030320517
31,14948.5,7399.0,7549.5,-22,5,227399.0,-17143.0,1.5213643851381438,0.9905017533383387,0.757018403140184,0.9925960186941291,0.7643459819979598,0.9854257992984633
32,14492.0,8107.0,6385.0,-2,23,28107.0,-108316.0,1.4278426496024266,0.9922950361942753,0.8182673923726739,0.9975089108764371,0.6095752572297526,0.9437819142530087
33,15082.0,7221.0,7861.0,6,-12,-52779.0,68101.0,1.4506907104699072,0.9956609533900794,0.6590098733060987,0.9860723231164066,0.7916808371638083,0.9951607266132427
34,16252.25,7860.0,8392.25,17,37,-162140.0,-177357.0,1.618661395315614,0.9985537783978933,0.8250794190067942,0.9957769995696125,0.7935819763088198,0.9927068652858738
35,14015.0,6965.0,7050.0,1,28,-3035.0,-132012.0,1.3733990293094902,0.996215200155936,0.6749321058893211,0.990732962020087,0.6984669234201693,0.9919883541652044
36,13024.75,6929.0,6095.75,-11,35,116929.0,-166953.0,1.3867583609490837,0.9888925822575232,0.6881807742178078,0.9987837814024371,0.6985775867312759,0.9514825936950323
37,16218.5,7724.0,8494.5,14,22,-132276.0,-101731.0,1.6648526225310263,0.998274700714028,0.7814481371664814,0.9979116225166604,0.8834044853645449,0.997113647679616
38,15703.5,8437.0,7266.5,13,14,-121563.0,-62758.0,1.561770503618705,0.996795837874312,0.8526442228084422,0.996503956523354,0.7091262808102629,0.9933188088667786
39,17708.0,8134.0,9574.0,12,12,-111866.0,-51665.0,1.8627061244370613,0.9964746601711708,0.846816596828166,0.9958191052439199,1.0158895276088953,0.9904695512757203
40,16087.75,7564.0,8523.75,30,19,-292436.0,-87450.0,1.5817850459103504,0.9942964788874272,0.7820627844506278,0.9975992661097429,0.7997222614597226,0.9702884646562695
41,15453.0,7701.0,7752.0,-16,26,167701.0,-121195.0,1.5877300899553008,0.9949222880763195,0.7602313481643135,0.9943944256514103,0.8274987417909874,0.9739826199884108
42,15646.5,8362.0,7284.5,-6,27,68362.0,-126811.0,1.4790693061746931,0.9930863999244341,0.8096481334944813,0.9963395722823014,0.6694211726802117,0.9550026892598515
43,14719.75,7441.0,7278.75,-4,-1,47441.0,12322.0,1.4739090125340901,0.9980321322355283,0.7526013854180138,0.9954965044801476,0.7213076271160763,0.9974900136733693
44,13799.0,6554.0,7245.0,-23,20,236554.0,-92885.0,1.335117807500678,0.9953522151689469,0.650954103371541,0.9955416758575656,0.6841637041291371,0.9901309112889269
45,12537.5,6611.0,5926.5,-6,15,66611.0,-68721.0,1.2617689257041893,0.9942079182477277,0.660082292952823,0.9969144912648233,0.6016866327513664,0.9790665772192207
46,17546.0,7903.0,9643.0,-1,32,17903.0,-150189.0,1.7918802742858027,0.9959409833686471,0.8138697697526976,0.9968080084978416,0.978010504533105,0.9896340012090348
47,14835.0,7791.0,7044.0,-19,16,197791.0,-72228.0,1.5152364203993642,0.9931144038605423,0.8133854264138543,0.9975648434632274,0.70185099398551,0.9732204384341552
48,15554.5,7402.0,8152.5,10,21,-92598.0,-96564.0,1.5710736118272361,0.997879595385183,0.753930198285302,0.9918079029403783,0.8171434135419341,0.9908360135861449
49,15119.5,7140.0,7979.5,-3,-6,37140.0,38182.0,1.457220209605202,0.9928110017128091,0.7177906478539064,0.9972824783431378,0.7394295617512956,0.984128314755916
50,14113.0,7771.0,6342.0,-12,26,127771.0,-123541.0,1.4295106432816065,0.9919270788642286,0.7739081044250811,0.9970675525657127,0.6556025388565254,0.9782085971271085
51,18340.5,9234.0,9106.5,-4,15,49234.0,-66606.0,1.8333747120517472,0.9858548674263591,0.8715641272776413,0.9965220916800932,0.9618105847741059,0.951387146632977
52,15058.5,8271.0,6787.5,12,3,-111729.0,-8028.0,1.4589593233685931,0.9905861408973673,0.8026981586029815,0.9935876648633364,0.6562611647656117,0.9544479326203245
53,14803.25,7450.0,7353.25,7,11,-62550.0,-47314.0,1.422969205539692,0.9921784687530839,0.7575618057396181,0.9942694903986987,0.665407399800074,0.9835514576442795
