session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
87,-2,15967.5,7637.0,8330.5,1.6228698717211987,0.9991896267882339,0.7739505954655059,0.9930627447228131,0.8489192762556927,0.9956385632777496
88,-2,15942.5,7302.0,8640.5,1.5822213188177132,0.9984827771580169,0.7376734918827349,0.9967982522735311,0.8445478269349783,0.9977467851981164
89,-2,15718.0,7350.0,8368.0,1.5765731703862318,0.9979258706596293,0.7330273183542731,0.9945691522983123,0.8435458520319585,0.9942926315707834
90,-2,15206.0,7451.0,7755.0,1.6110357106368571,0.9933850523693472,0.768437101702371,0.986297354999795,0.8425986089344861,0.9960404771977106
91,-2,15905.25,7483.0,8422.25,1.5747861429788614,0.9974913252892436,0.7644391554003915,0.9960093269694346,0.8103469875784699,0.9947672617147659
92,-2,15522.5,7037.0,8485.5,1.5338746849962468,0.9991787843276465,0.7023475837474759,0.9965580827831294,0.831527101248771,0.993341598790822
93,-2,16963.0,7429.0,9534.0,1.6999237974147379,0.9983541308141838,0.7704443892364439,0.9960981273275028,0.9294794081782941,0.9965140099131845
94,-2,16366.0,8045.0,8321.0,1.6717223632617237,0.9941176673673124,0.7723888614198886,0.9974550958483854,0.899333501841835,0.985336686412246
95,-2,15610.0,7857.0,7753.0,1.6600239600132396,0.9962046542124825,0.8183588499415885,0.9918554965462888,0.8416651100716511,0.9925521657630852
96,-2,15508.0,8133.0,7375.0,1.5951735327037353,0.9991138536252955,0.8498483612424836,0.9969463741705398,0.7453251714612518,0.9968380706662062
97,-2,16977.5,8093.0,8884.5,1.6581193613431937,0.9978752268193403,0.8002363968463639,0.9985150791019342,0.8578829644968297,0.9937639713385249
98,-2,14975.75,6937.0,8038.75,1.514914597431646,0.9970995339402258,0.7047201235952012,0.9967046682907191,0.8101944738364447,0.9952519983660115
99,-2,15304.0,7284.0,8020.0,1.4967295491857955,0.9984228372740649,0.7290437444644374,0.9978718293907124,0.7676858047213581,0.9959201155749066
