rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
49,TradervR1_lab_r12_07_p_entry_quality,TradervR1_lab_r11_02_a_quality_guard,pepper_entry_quality,289784.5,1742.0,-60.0,497.0,226.0,1897.87,1230.1128,96626.5,16982.5,79644.0,827,96739.0,17371.0,79368.0,814,96419.0,17022.0,79397.0,790,-629.4167,-3103.75,0.6667,-629.4167,-3103.75
50,TradervR1_lab_r08_08_p_carry_defense_a_quality_guard_cmaes_pepper_carry_defense,TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,"pepper_carry_defense,cmaes_refine",289835.5,1793.0,-9.0,521.0,229.0,1957.03,1211.9883,96650.5,17013.5,79637.0,830,96739.0,17371.0,79368.0,814,96446.0,17051.0,79395.0,789,-820.1667,-3098.25,0.5,-820.1667,-3098.25
51,TradervR1_lab_r01_04_p_carry_defense,TradervR1_47,pepper_carry_defense,289833.5,1791.0,-11.0,521.0,227.0,1955.19,1210.4828,96650.5,17013.5,79637.0,830,96739.0,17371.0,79368.0,814,96444.0,17051.0,79393.0,789,-252.1667,-4759.25,0.6667,-252.1667,-4759.25
52,TradervR1_lab_r04_02_a_attack_tuning,TradervR1_lab_r03_03_a_local_fair_blend_p_entry_quality,ash_attack_tuning,289209.0,1166.5,-635.5,156.5,450.5,1185.235,1185.235,96286.0,16649.0,79637.0,812,96824.0,17456.0,79368.0,792,96099.0,16704.0,79395.0,779,,,,,
53,TradervR1_lab_r01_01_a_local_fair_blend,TradervR1_39_4,ash_local_fair_blend,289132.5,1090.0,-712.0,275.0,213.0,1169.21,1169.21,96404.5,16760.5,79644.0,577,96705.0,17342.0,79363.0,578,96023.0,16626.0,79397.0,560,,,,,
54,TradervR1_lab_r03_01_a_local_fair_blend,TradervR1_47,ash_local_fair_blend,289117.0,1074.5,-727.5,174.5,329.5,1109.215,1109.215,96304.0,16660.0,79644.0,873,96613.0,17245.0,79368.0,862,96200.0,16803.0,79397.0,838,,,,,
55,TradervR1_lab_r12_05_a_local_fair_blend_p_entry_quality,TradervR1_47_2,"ash_local_fair_blend,pepper_entry_quality",289042.5,1000.0,-802.0,301.0,77.0,1099.19,1099.19,96507.5,16864.5,79643.0,763,96518.0,17150.0,79368.0,738,96017.0,16620.0,79397.0,719,,,,,
56,TradervR1_lab_r07_05_a_attack_tuning,TradervR1_lab_r06_04_p_carry_defense_p_entry_quality,ash_attack_tuning,289075.5,1033.0,-769.0,205.0,210.0,1087.95,1087.95,96334.5,16690.5,79644.0,821,96630.0,17314.0,79316.0,800,96111.0,16714.0,79397.0,782,,,,,
57,TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,TradervR1_lab_r07_03_p_carry_defense,"pepper_carry_defense,ash_quality_guard",289835.5,1793.0,-9.0,521.0,229.0,1957.03,1009.9922,96650.5,17013.5,79637.0,830,96739.0,17371.0,79368.0,814,96446.0,17051.0,79395.0,789,-922.3333,-4332.5,0.8333,-922.3333,-4332.5
58,TradervR1_lab_r06_03_a_attack_tuning_cmaes_ash_attack_tuning,TradervR1_lab_r06_03_a_attack_tuning,"ash_attack_tuning,cmaes_refine",289317.0,1274.5,-527.5,279.5,235.5,1353.485,957.8628,96409.0,16765.0,79644.0,815,96697.0,17329.0,79368.0,800,96211.0,16814.0,79397.0,782,104.0833,-2988.5,0.6667,104.0833,-2988.5
59,TradervR1_lab_r06_03_a_attack_tuning,TradervR1_lab_r05_05_a_attack_tuning,ash_attack_tuning,289317.0,1274.5,-527.5,279.5,235.5,1353.485,923.0605,96409.0,16765.0,79644.0,815,96697.0,17329.0,79368.0,800,96211.0,16814.0,79397.0,782,13.0,-3018.5,0.8333,13.0,-3018.5
60,TradervR1_lab_r01_06_p_entry_quality,TradervR1_47,pepper_entry_quality,289830.5,1788.0,-14.0,521.0,224.0,1952.43,879.7612,96650.5,17013.5,79637.0,830,96739.0,17371.0,79368.0,814,96441.0,17051.0,79390.0,789,-695.8333,-5832.5,0.6667,-695.8333,-5832.5
61,TradervR1_lab_r17_05_a_local_fair_blend,TradervR1_lab_r16_04_a_local_fair_blend,ash_local_fair_blend,288857.5,815.0,-987.0,135.0,222.0,844.49,844.49,96264.5,16620.5,79644.0,672,96540.0,17172.0,79368.0,656,96053.0,16656.0,79397.0,641,,,,,
62,TradervR1_lab_r11_05_p_carry_defense_p_entry_quality,TradervR1_47,"pepper_carry_defense,pepper_entry_quality",289836.5,1794.0,-8.0,522.0,223.0,1958.86,835.2212,96656.5,17013.5,79643.0,831,96739.0,17371.0,79368.0,814,96441.0,17051.0,79390.0,789,-778.0833,-5965.0,0.6667,-778.0833,-5965.0
63,TradervR1_lab_r18_05_a_attack_tuning,TradervR1_lab_r17_05_a_local_fair_blend,ash_attack_tuning,288810.0,767.5,-1034.5,35.5,352.5,751.725,751.725,96165.0,16521.0,79644.0,722,96561.0,17193.0,79368.0,704,96084.0,16687.0,79397.0,675,,,,,
64,TradervR1_lab_r09_08_a_local_fair_blend_p_entry_quality,TradervR1_47_2,"ash_local_fair_blend,pepper_entry_quality",288793.5,751.0,-1051.0,7.0,405.0,721.05,721.05,96136.5,16492.5,79644.0,846,96629.0,17261.0,79368.0,840,96028.0,16640.0,79388.0,812,,,,,
65,TradervR1_lab_r13_07_a_local_fair_blend,TradervR1_34_1,ash_local_fair_blend,288674.0,631.5,-1170.5,177.0,50.5,689.41,654.5722,96357.0,16713.0,79644.0,669,96444.0,17076.0,79368.0,658,95873.0,16476.0,79397.0,632,537.6667,-1324.5,0.8333,537.6667,-1324.5
66,TradervR1_lab_r10_02_a_local_fair_blend,TradervR1_42_O2_1,ash_local_fair_blend,288523.0,480.5,-1321.5,100.5,114.5,506.515,506.515,96230.0,16586.0,79644.0,627,96382.0,17014.0,79368.0,617,95911.0,16514.0,79397.0,608,,,,,
67,TradervR1_lab_r03_02_a_local_fair_blend,TradervR1_lab_r02_08_p_carry_defense_best,ash_local_fair_blend,288580.5,538.0,-1264.0,-48.0,342.0,493.84,493.84,96081.5,16444.5,79637.0,921,96511.0,17178.0,79333.0,897,95988.0,16593.0,79395.0,881,,,,,
68,TradervR1_lab_r16_08_a_local_fair_blend_a_quality_guard,TradervR1_47,"ash_local_fair_blend,ash_quality_guard",289373.5,1331.0,-471.0,216.0,434.0,1371.88,476.4062,96345.5,16701.5,79644.0,888,96867.0,17499.0,79368.0,879,96161.0,16764.0,79397.0,846,-243.0833,-5599.25,0.6667,-243.0833,-5599.25
69,TradervR1_lab_r02_05_a_local_fair_blend,TradervR1_42_O2_1,ash_local_fair_blend,288446.0,403.5,-1398.5,-36.5,284.5,367.965,367.965,96093.0,16449.0,79644.0,704,96409.0,17041.0,79368.0,687,95944.0,16547.0,79397.0,669,,,,,
70,TradervR1_lab_r11_08_p_carry_defense_a_attack_tuning,TradervR1_39_4,"pepper_carry_defense,ash_attack_tuning",288422.0,379.5,-1422.5,-70.5,316.5,329.505,329.505,96059.0,16416.0,79643.0,682,96421.0,17058.0,79363.0,655,95942.0,16552.0,79390.0,652,,,,,
71,TradervR1_lab_r08_07_a_attack_tuning_a_local_fair_blend,TradervR1_47_2,"ash_attack_tuning,ash_local_fair_blend",289125.5,1083.0,-719.0,173.0,429.0,1109.23,328.3372,96302.5,16658.5,79644.0,850,96819.0,17451.0,79368.0,829,96004.0,16607.0,79397.0,809,-398.8333,-4235.75,0.8333,-398.8333,-4235.75
72,TradervR1_lab_r18_08_a_local_fair_blend_p_entry_quality,TradervR1_47_2,"ash_local_fair_blend,pepper_entry_quality",288855.5,813.0,-989.0,135.0,272.0,838.49,262.0072,96264.5,16620.5,79644.0,859,96624.0,17256.0,79368.0,860,95967.0,16570.0,79397.0,818,-98.5833,-3479.25,0.8333,-98.5833,-3479.25
73,TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend_p_entry_quality,TradervR1_lab_r11_02_a_quality_guard,"ash_quality_guard,ash_local_fair_blend,pepper_entry_quality",289618.0,1575.5,-226.5,375.5,278.5,1684.645,235.9905,96505.0,16861.0,79644.0,838,96871.0,17503.0,79368.0,821,96242.0,16854.0,79388.0,798,-1481.0,-6195.0,0.8333,-1481.0,-6195.0
74,TradervR1_lab_r02_02_a_local_fair_blend,TradervR1_lab_r01_04_p_carry_defense,ash_local_fair_blend,288264.0,221.5,-1580.5,-6.5,164.5,206.065,206.065,96123.0,16486.0,79637.0,825,96287.0,16919.0,79368.0,810,95854.0,16461.0,79393.0,773,,,,,
75,TradervR1_lab_r10_08_a_local_fair_blend,TradervR1_39_4,ash_local_fair_blend,288332.0,289.5,-1512.5,-204.5,455.5,181.485,181.485,95925.0,16281.0,79644.0,707,96460.0,17097.0,79363.0,689,95947.0,16550.0,79397.0,668,,,,,
76,TradervR1_lab_r18_03_a_attack_tuning_a_quality_guard,TradervR1_lab_r17_05_a_local_fair_blend,"ash_attack_tuning,ash_quality_guard",289281.5,1239.0,-563.0,212.0,395.0,1281.6,176.2122,96341.5,16697.5,79644.0,632,96824.0,17456.0,79368.0,621,96116.0,16719.0,79397.0,601,-656.3333,-5907.0,0.8333,-656.3333,-5907.0
77,TradervR1_lab_r10_07_a_local_fair_blend,TradervR1_lab_r09_07_p_carry_defense_a_quality_guard,ash_local_fair_blend,288296.5,254.0,-1548.0,-166.0,444.0,160.38,160.38,95963.5,16319.5,79644.0,911,96495.0,17188.0,79307.0,919,95838.0,16443.0,79395.0,873,,,,,
78,TradervR1_lab_r18_01_a_quality_guard,TradervR1_lab_r17_02_a_local_fair_blend_a_quality_guard,ash_quality_guard,288216.0,173.5,-1628.5,-66.5,249.5,130.265,130.265,96063.0,16419.0,79644.0,729,96400.0,17037.0,79363.0,712,95753.0,16356.0,79397.0,688,,,,,
79,TradervR1_lab_r02_07_a_local_fair_blend_p_entry_quality_a_quality_guard,TradervR1_47_2,"ash_local_fair_blend,pepper_entry_quality,ash_quality_guard",290129.0,2086.5,284.5,571.5,270.5,2264.885,119.4867,96701.0,17058.0,79643.0,734,97059.0,17691.0,79368.0,723,96369.0,16972.0,79397.0,701,-2966.0833,-6849.75,0.0,-2966.0833,-6849.75
80,TradervR1_lab_r16_04_a_local_fair_blend,TradervR1_34_1,ash_local_fair_blend,288201.5,159.0,-1643.0,-75.0,240.0,113.55,113.55,96054.5,16410.5,79644.0,729,96382.0,17014.0,79368.0,708,95765.0,16368.0,79397.0,693,,,,,
81,TradervR1_lab_r06_08_p_carry_defense_a_quality_guard,TradervR1_47_2,"pepper_carry_defense,ash_quality_guard",289352.5,1310.0,-492.0,209.0,355.0,1354.75,109.3888,96338.5,16701.5,79637.0,821,96754.0,17386.0,79368.0,800,96260.0,16867.0,79393.0,786,-795.4167,-6550.0,0.8333,-795.4167,-6550.0
82,TradervR1_lab_r12_02_p_entry_quality_a_quality_guard,TradervR1_34_1,"pepper_entry_quality,ash_quality_guard",288137.5,95.0,-1707.0,-122.0,348.0,24.46,24.46,96007.5,16363.5,79644.0,729,96443.0,17075.0,79368.0,718,95687.0,16299.0,79388.0,690,,,,,
83,TradervR1_lab_r17_02_a_local_fair_blend_a_quality_guard,TradervR1_42_P1_1,"ash_local_fair_blend,ash_quality_guard",288105.0,62.5,-1739.5,-105.5,288.5,2.495,2.495,96024.0,16380.0,79644.0,730,96400.0,17037.0,79363.0,712,95681.0,16284.0,79397.0,687,,,,,
84,TradervR1_lab_r13_05_a_quality_guard,TradervR1_34_1,ash_quality_guard,288042.5,0.0,-1802.0,0.0,0.0,0.0,0.0,96129.5,16485.5,79644.0,730,96217.0,16849.0,79368.0,708,95696.0,16299.0,79397.0,690,,,,,
85,TradervR1_lab_r07_04_p_entry_quality_a_quality_guard,TradervR1_42_P1_1,"pepper_entry_quality,ash_quality_guard",288035.5,-7.0,-1809.0,-7.0,7.0,-10.01,-10.01,96122.5,16485.5,79637.0,730,96217.0,16849.0,79368.0,708,95696.0,16299.0,79397.0,690,,,,,
86,TradervR1_lab_r13_01_p_carry_defense,TradervR1_34_1,pepper_carry_defense,288033.5,-9.0,-1811.0,-7.0,7.0,-12.01,-12.01,96122.5,16485.5,79637.0,730,96217.0,16849.0,79368.0,708,95694.0,16299.0,79395.0,690,,,,,
