rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
63,TradervR1_lab_r01_06_p_entry_quality_p_carry_defense,TradervR1_47_2,"pepper_entry_quality,pepper_carry_defense",289356.5,1314.0,-488.0,209.0,359.0,1358.43,1358.43,96338.5,16701.5,79637.0,821,96754.0,17386.0,79368.0,800,96264.0,16867.0,79397.0,786,,,,,
64,TradervR1_lab_r06_06_p_carry_defense,TradervR1_47_2,pepper_carry_defense,289352.5,1310.0,-492.0,209.0,355.0,1354.75,1354.75,96338.5,16701.5,79637.0,821,96754.0,17386.0,79368.0,800,96260.0,16867.0,79393.0,786,,,,,
65,TradervR1_lab_r06_02_a_local_fair_blend,TradervR1_lab_r05_08_a_quality_guard,ash_local_fair_blend,290190.5,2148.0,346.0,646.0,130.0,2363.7,1350.2378,96775.5,17131.5,79644.0,780,96993.0,17625.0,79368.0,751,96422.0,17025.0,79397.0,731,-420.4167,-6204.5,0.6667,-420.4167,-6204.5
66,TradervR1_lab_r02_07_p_entry_quality_a_local_fair_blend,TradervR1_47,"pepper_entry_quality,ash_local_fair_blend",289341.0,1298.5,-503.5,195.5,427.5,1332.725,1332.725,96325.0,16681.0,79644.0,849,96697.0,17329.0,79368.0,834,96319.0,16931.0,79388.0,806,,,,,
67,TradervR1_lab_r08_07_a_quality_guard,TradervR1_47_2,ash_quality_guard,289321.5,1279.0,-523.0,216.0,352.0,1326.44,1326.44,96345.5,16701.5,79644.0,821,96712.0,17344.0,79368.0,799,96264.0,16867.0,79397.0,786,,,,,
68,TradervR1_lab_r18_02_a_quality_guard_p_carry_defense,TradervR1_lab_r17_01_a_quality_guard,"ash_quality_guard,pepper_carry_defense",289266.5,1224.0,-578.0,216.0,350.0,1271.6,1271.6,96345.5,16701.5,79644.0,821,96659.0,17344.0,79315.0,799,96262.0,16867.0,79395.0,785,,,,,
69,TradervR1_lab_r01_04_a_quality_guard,TradervR1_47,ash_quality_guard,289844.5,1802.0,0.0,522.0,230.0,1966.3,1253.1038,96657.5,17013.5,79644.0,830,96739.0,17371.0,79368.0,814,96448.0,17051.0,79397.0,789,-662.6667,-3409.25,0.8333,-662.6667,-3409.25
70,TradervR1_lab_r03_05_p_entry_quality_a_local_fair_blend,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard,"pepper_entry_quality,ash_local_fair_blend",289212.5,1170.0,-632.0,267.0,204.0,1247.13,1247.13,96396.5,16759.5,79637.0,834,96649.0,17281.0,79368.0,811,96167.0,16770.0,79397.0,794,,,,,
71,TradervR1_lab_r04_03_a_quality_guard,TradervR1_lab_r03_05_p_entry_quality_a_local_fair_blend,ash_quality_guard,289212.5,1170.0,-632.0,267.0,204.0,1247.13,1247.13,96396.5,16759.5,79637.0,834,96649.0,17281.0,79368.0,811,96167.0,16770.0,79397.0,794,,,,,
72,TradervR1_lab_r12_01_a_quality_guard_p_entry_quality,TradervR1_lab_r11_05_p_carry_defense,"ash_quality_guard,pepper_entry_quality",289844.5,1802.0,0.0,522.0,230.0,1966.3,1225.3628,96657.5,17013.5,79644.0,830,96739.0,17371.0,79368.0,814,96448.0,17051.0,79397.0,789,-258.4167,-4720.75,0.6667,-258.4167,-4720.75
73,TradervR1_lab_r04_02_a_attack_tuning,TradervR1_lab_r03_05_p_entry_quality_a_local_fair_blend,ash_attack_tuning,289161.5,1119.0,-683.0,299.0,134.0,1212.93,1212.93,96428.5,16791.5,79637.0,833,96650.0,17282.0,79368.0,816,96083.0,16686.0,79397.0,796,,,,,
74,TradervR1_lab_r07_08_p_entry_quality,TradervR1_lab_r06_08_a_quality_guard,pepper_entry_quality,289815.5,1773.0,-29.0,522.0,201.0,1939.62,1200.1562,96657.5,17013.5,79644.0,830,96739.0,17371.0,79368.0,814,96419.0,17022.0,79397.0,790,-624.8333,-3646.75,0.6667,-624.8333,-3646.75
75,TradervR1_lab_r10_07_a_quality_guard,TradervR1_lab_r09_01_a_attack_tuning,ash_quality_guard,289581.5,1539.0,-263.0,346.0,335.0,1633.3,1172.4872,96475.5,16831.5,79644.0,823,96729.0,17361.0,79368.0,816,96377.0,16980.0,79397.0,795,66.9167,-3540.75,0.8333,66.9167,-3540.75
76,TradervR1_lab_r13_04_p_carry_defense_a_quality_guard,TradervR1_lab_r12_03_a_quality_guard_best,"pepper_carry_defense,ash_quality_guard",289760.5,1718.0,-84.0,469.0,252.0,1861.99,1166.0255,96657.5,17013.5,79644.0,830,96686.0,17371.0,79315.0,814,96417.0,17022.0,79395.0,789,-182.0,-4611.5,0.8333,-182.0,-4611.5
77,TradervR1_lab_r17_01_a_quality_guard,TradervR1_47_2,ash_quality_guard,289516.5,1474.0,-328.0,278.0,350.0,1543.3,1163.4362,96407.5,16763.5,79644.0,823,96845.0,17477.0,79368.0,806,96264.0,16867.0,79397.0,786,49.4167,-2833.75,0.6667,49.4167,-2833.75
78,TradervR1_lab_r12_08_p_entry_quality_a_local_fair_blend,TradervR1_lab_r11_03_p_entry_quality_a_local_fair_blend,"pepper_entry_quality,ash_local_fair_blend",289565.0,1522.5,-279.5,443.5,154.5,1665.365,1090.8212,96573.0,16929.0,79644.0,809,96698.0,17330.0,79368.0,796,96294.0,16897.0,79397.0,767,-86.8333,-3862.75,0.6667,-86.8333,-3862.75
79,TradervR1_lab_r10_07_a_quality_guard_cmaes_ash_quality_guard,TradervR1_lab_r10_07_a_quality_guard,"ash_quality_guard,cmaes_refine",289581.5,1539.0,-263.0,346.0,335.0,1633.3,1003.9305,96475.5,16831.5,79644.0,823,96729.0,17361.0,79368.0,816,96377.0,16980.0,79397.0,795,-45.25,-4424.25,0.8333,-45.25,-4424.25
80,TradervR1_lab_r03_07_a_attack_tuning,TradervR1_lab_r02_06_a_local_fair_blend_a_attack_tuning,ash_attack_tuning,289769.0,1726.5,-75.5,357.5,386.5,1820.705,918.8178,96487.0,16843.0,79644.0,856,96842.0,17474.0,79368.0,843,96440.0,17043.0,79397.0,821,-289.9167,-5737.25,0.6667,-289.9167,-5737.25
81,TradervR1_lab_r11_03_p_entry_quality_a_local_fair_blend,TradervR1_47,"pepper_entry_quality,ash_local_fair_blend",289465.5,1423.0,-379.0,446.0,77.0,1572.94,907.0162,96583.5,16939.5,79644.0,828,96663.0,17295.0,79368.0,810,96219.0,16822.0,79397.0,788,-170.0833,-4220.75,0.6667,-170.0833,-4220.75
82,TradervR1_lab_r13_03_a_local_fair_blend,TradervR1_47_2,ash_local_fair_blend,288940.0,897.5,-904.5,79.5,406.5,892.805,892.805,96209.0,16565.0,79644.0,837,96703.0,17335.0,79368.0,833,96028.0,16631.0,79397.0,804,,,,,
83,TradervR1_lab_r09_04_p_entry_quality,TradervR1_47,pepper_entry_quality,289844.5,1802.0,0.0,522.0,230.0,1966.3,787.6578,96657.5,17013.5,79644.0,830,96739.0,17371.0,79368.0,814,96448.0,17051.0,79397.0,789,-808.1667,-6276.5,0.6667,-808.1667,-6276.5
84,TradervR1_lab_r01_05_a_attack_tuning,TradervR1_47_2,ash_attack_tuning,288812.0,769.5,-1032.5,89.5,268.5,779.345,779.345,96219.0,16575.0,79644.0,818,96539.0,17171.0,79368.0,804,96054.0,16657.0,79397.0,790,,,,,
85,TradervR1_lab_r16_01_a_quality_guard,TradervR1_47,ash_quality_guard,289844.5,1802.0,0.0,522.0,230.0,1966.3,699.3645,96657.5,17013.5,79644.0,830,96739.0,17371.0,79368.0,814,96448.0,17051.0,79397.0,789,-955.75,-6485.5,0.6667,-955.75,-6485.5
86,TradervR1_lab_r15_05_a_local_fair_blend,TradervR1_lab_r14_04_a_local_fair_blend,ash_local_fair_blend,289567.5,1525.0,-277.0,337.0,310.0,1618.15,673.9872,96466.5,16822.5,79644.0,802,96864.0,17496.0,79368.0,791,96237.0,16840.0,79397.0,775,-636.5833,-4975.25,0.8333,-636.5833,-4975.25
87,TradervR1_lab_r16_06_p_carry_defense_cmaes_pepper_carry_defense,TradervR1_lab_r16_06_p_carry_defense,"pepper_carry_defense,cmaes_refine",289596.0,1553.5,-248.5,396.5,216.5,1674.955,665.3312,96526.0,16882.0,79644.0,794,96761.0,17393.0,79368.0,775,96309.0,16921.0,79388.0,757,-621.0833,-5461.75,0.6667,-621.0833,-5461.75
88,TradervR1_lab_r09_05_a_local_fair_blend,TradervR1_lab_r08_03_p_entry_quality_a_local_fair_blend,ash_local_fair_blend,288711.0,668.5,-1133.5,53.5,279.5,664.865,664.865,96183.0,16556.0,79627.0,911,96550.0,17186.0,79364.0,915,95978.0,16582.0,79396.0,878,,,,,
89,TradervR1_lab_r05_07_a_local_fair_blend,TradervR1_lab_r04_06_p_entry_quality_p_carry_defense,ash_local_fair_blend,288489.0,446.5,-1355.5,52.5,187.5,449.875,449.875,96182.0,16554.0,79628.0,902,96371.0,17001.0,79370.0,891,95936.0,16545.0,79391.0,861,,,,,
90,TradervR1_lab_r14_07_a_quality_guard_p_carry_defense,TradervR1_lab_r13_06_a_quality_guard,"ash_quality_guard,pepper_carry_defense",289836.5,1794.0,-8.0,522.0,223.0,1958.86,342.8162,96656.5,17013.5,79643.0,831,96739.0,17371.0,79368.0,814,96441.0,17051.0,79390.0,789,-1368.3333,-7795.75,0.6667,-1368.3333,-7795.75
91,TradervR1_lab_r04_07_a_local_fair_blend,TradervR1_lab_r03_08_p_entry_quality_a_quality_guard,ash_local_fair_blend,288395.0,352.5,-1449.5,-119.5,366.5,281.355,281.355,96010.0,16366.0,79644.0,855,96442.0,17074.0,79368.0,835,95943.0,16553.0,79390.0,801,,,,,
92,TradervR1_lab_r10_02_p_entry_quality,TradervR1_47_2,pepper_entry_quality,289363.5,1321.0,-481.0,216.0,352.0,1368.44,251.2295,96345.5,16701.5,79644.0,821,96754.0,17386.0,79368.0,800,96264.0,16867.0,79397.0,786,-835.5,-5484.75,0.6667,-835.5,-5484.75
93,TradervR1_lab_r01_07_a_attack_tuning,TradervR1_42_O2_1,ash_attack_tuning,288263.5,221.0,-1581.0,-24.0,273.0,190.76,190.76,96125.5,16481.5,79644.0,678,96466.0,17098.0,79368.0,660,95672.0,16275.0,79397.0,638,,,,,
94,TradervR1_lab_r12_06_a_attack_tuning,TradervR1_42_O2_1,ash_attack_tuning,288210.5,168.0,-1634.0,2.0,124.0,158.78,158.78,96169.5,16525.5,79644.0,727,96343.0,16975.0,79368.0,704,95698.0,16301.0,79397.0,688,,,,,
